3294667784	53082
4069559494	50659
2061462465	72170
2417973067	19154
3050376844	37083
578746191	54788
125761409	62732
1954579781	37706
2673006125	70519
2926356248	99125
1756701984	38407
1110924096	55313
1675837761	42558
909040820	11553
3531006274	37934
4242849499	45409
37257314	44580
3670210734	51022
172558749	32053
2657165904	40199
2467346451	25618
425902182	34020
649552672	31988
3748209074	42952
37930436	31214
3394203543	36024
4139024653	68304
1174096856	81044
1992738206	62000
1227952658	67297
2713110374	55919
517426805	91090
2377347220	28735
125608057	44731
1644872428	30507
1563382162	35934
3788172991	63360
2246789254	60377
909066372	42269
1600315847	57026
517288877	87536
4168950352	33521
3211856631	43261
3351732035	60308
2476432628	46270
2747571364	30507
1196613187	63174
1328887321	75222
3531012207	28707
2174781219	36789
292210197	44510
1141340647	27714
4268034939	74230
1671732149	66704
950579942	94293
300079799	51199
578623584	50590
2124229154	56349
74262210	45323
1982368080	49300
3077388090	69973
2747611399	47972
3870106000	67015
484248302	56695
424343581	74522
651870276	29753
3345414393	29498
576898933	49425
1221815741	39142
1548154210	43842
1990388060	36566
3802357193	46718
307976174	49112
2274928955	108421
1052472366	56863
3017757224	34019
1672662022	65548
651909567	34165
2571335773	77440
2454932797	55835
1821970747	68256
3441995543	42431
1675657317	60594
1563245185	43046
660408657	80301
1976255686	48615
1014458600	62555
1774760507	29244
576939976	15786
3527485369	28863
3913881581	49339
1123763788	32433
2697156487	67230
1519320224	31120
1615820998	91938
1751977344	35326
2263282587	57112
878887912	29662
1887400790	41307
3649762439	81332
2960701487	82494
